FGBLZ2013,FGBL Z2013-EUX,"",,20131206
FGBLH2014,FGBL H2014-EUX,"",,20140306
FGBLM2014,FGBL M2014-EUX,"",,20140606
FGBLU2014,FGBL U2014-EUX,"",,20140908
FGBLZ2014,FGBL Z2014-EUX,"",,20141208
FGBLH2015,FGBL H2015-EUX,"",,20150306
FGBLM2015,FGBL M2015-EUX,"",,20150608
FGBLU2015,FGBL U2015-EUX,"",,20150908
FGBLZ2015,FGBL Z2015-EUX,"",,20151208
FGBLH2016,FGBL H2016-EUX,"",,20160308
FGBLM2016,FGBL M2016-EUX,"",,20160608
FGBLU2016,FGBL U2016-EUX,"",,20160908
FGBLZ2016,FGBL Z2016-EUX,"",,20161208
FGBLH2017,FGBL H2017-EUX,"",,20170308
FGBLM2017,FGBL M2017-EUX,"",,20170608
FGBLU2017,FGBL U2017-EUX,"",,20170907
FGBLZ2017,FGBL Z2017-EUX,"",,20171207
FGBLH2018,FGBL H2018-EUX,"",,20180308
FGBLM2018,FGBL M2018-EUX,"",,20180607
FGBLU2018,FGBL U2018-EUX,"",,20180906
FGBLZ2018,FGBL Z2018-EUX,"",,20181206
FGBLH2019,FGBL H2019-EUX,"",,20190307
FGBLM2019,FGBL M2019-EUX,"",,20190606
FGBLU2019,FGBL U2019-EUX,"",,20190906
FGBLZ2019,FGBL Z2019-EUX,"",,20191206
FGBLH2020,FGBL H2020-EUX,"",,20200306
FGBLM2020,FGBL M2020-EUX,"",,20200608
FGBLU2020,FGBL U2020-EUX,"",,20200908
FGBLZ2020,FGBL Z2020-EUX,"",,20201208
FGBLH2021,FGBL H2021-EUX,"",,20210308
FGBLM2021,FGBL M2021-EUX,"",,20210608
FGBLU2021,FGBL U2021-EUX,"",,20210908
