tv-symbol;isin;description
849098;DE0008490988;DWS Global Hybrid Bond Fund LD
939853;LU0133414606;DWS Global Value LD
974879;LU0068770873;DWS India
DWS0BJ;LU0273157635;DWS Invest Chinese Equities LC
974527;LU0062756647;DWS OSTEUROPA
849082;DE0008490822;DWS Qi LowVol Europe NC
939855;LU0146864797;DWS Russia LC
515246;DE0005152466;DWS SDG Global Equities LD
A2JAD9;LU1740984924;DWS Strategic ESG Allocation Balance LC
984811;DE0009848119;DWS Top Dividende LD
984801;DE0009848010;DWS Top Portfolio Offensiv
847652;DE0008476524;DWS Vermögensbildungsfonds I LD
A0J3UF;DE000A0J3UF6;Earth Exploration Fund UI € R
EASY30;DE000EASY306;EASYFOLIO 30
EASY50;DE000EASY504;EASYFOLIO 50
EASY70;DE000EASY702;EASYFOLIO 70
A0J36T;AT0000646799;ERSTE Resp Stock Global EUR R01 T €
970995;AT0000858147;ERSTE Stock Vienna A €
764930;LU0136412771;Ethna-AKTIV A
A0X8U6;LU0431139764;ETHNA-AKTIV T
A0LF5X;LU0279509144;Ethna-DEFENSIV T
A0B91Q;LU0187937411;Fidecum avant-garde Stock A
973280;LU0048573561;Fidelity America A $
973254;LU0048573645;Fidelity ASEAN A $
A0CA6V;LU0173614495;Fidelity China Focus A $
973267;LU0048575426;Fidelity Emerging Markets A $
986380;LU0069450319;Fidelity Euro Stoxx 50 A €
603474;LU0119124781;Fidelity European Dynamic Growth A €
973270;LU0048578792;Fidelity European Growth A €
939979;LU0110060430;Fidelity European High Yield A €
973283;LU0048580004;Fidelity Germany A €
A1JSY0;LU0731782404;Fidelity Gl. Dividend A QIncome(G) €
973269;LU0048584097;Fidelity Global Thematic Opp A $
A0B8SR;LU0197230542;Fidelity India Focus A €
974129;LU0055114457;Fidelity Indonesia A $
973285;LU0049112450;Fidelity Pacific A $
973268;LU0048621477;Fidelity Thailand A $
A3DQ21;DE000A3DQ210;FINLIUM AMBITION R
635297;LU0068578508;First Eagle Amundi International AU Cap
979583;DE0009795831;First Private Europa Aktien ULM A
A3EEYP;AT0000A347S9;FIXED INCOME ONE R
847811;DE0008478116;FMM-FONDS
847101;DE0008471012;Fondak A
802356;DE0008023565;Fonds für Stiftungen Invesco
A0DN1Q;LU0207947044;FPM Stockpicker Germany Small/Mid C
A0M8HD;DE000A0M8HD2;Frankfurter Aktienf. für Stiftungen T
937444;LU0109394709;Franklin Biotech Discov A acc $
A0MZK6;LU0316494805;Franklin Glo Funda Strats A acc €
