cik,symbol
750686,NASDAQ:CAC
751364,NYSE:NNN
751365,NASDAQ:VIRC
751978,NASDAQ:VICR
752294,OTC:ELST
752642,NYSE:UMH
752714,NASDAQ:MGRC
753308,NYSE:NEE
754811,NASDAQ:GROW
755001,NYSE:UTL
756894,TSX:ABX
758743,OTC:VIDE
759828,NYSE:JHI
759866,NYSE:JHS
759944,NYSE:CFG
760498,NASDAQ:BANF
763532,NASDAQ:LYTS
763563,NASDAQ:CHMG
763744,NYSE:LCII
763901,NASDAQ:BPOP
763907,NASDAQ:FUNC
764038,NYSE:SSB
764065,NYSE:CLF
764180,NYSE:MO
764195,OTC:VBIVQ
764401,NYSE:IIIN
764478,NYSE:BBY
764622,NYSE:PNW
764630,OTC:SPEV
764897,OTC:BRST
765207,NASDAQ:FNLC
765880,NYSE:DOC
766421,NYSE:ALK
766704,NYSE:WELL
766792,NASDAQ:CVV
766829,NYSE:SJW
767405,NASDAQ:SBFG
768216,OTC:LOGQ
768408,OTC:CYAN
768835,NYSE:BIG
768899,NYSE:TBI
769218,EURONEXT:AGN
769397,NASDAQ:ADSK
769520,NASDAQ:MIDD
769594,TSE:9432
770460,OTC:PFBX
771266,NASDAQ:KOPN
771497,NYSE:ABM
771856,NASDAQ:CSBR
771992,TSX:PAAS
772263,OTC:NICH
772406,NASDAQ:CRUS
773318,OTC:VRTC
773717,OTC:ACRG
773840,NASDAQ:HON
774415,OTC:KRFG
775057,OTC:ALTX
775158,NYSE:OSK
775215,NASDAQ:HBT
776867,NYSE:WTM
776901,NASDAQ:INDB
778164,NASDAQ:ALTO
779152,NASDAQ:JKHY
779544,NASDAQ:ARKR
780571,NASDAQ:ITRI
783325,NYSE:WEC
783412,NASDAQ:DJCO
784199,NYSE:AORT
784539,OTC:EACO
784977,NYSE:POR
785161,NYSE:EHC
785557,NASDAQ:DLHC
785786,NASDAQ:PLXS
785956,NASDAQ:JJSF
786035,NYSE:ASG
786947,OTC:ACUR
787253,NASDAQ:NAII
787496,OTC:UBYH
788329,NASDAQ:JOUT
788611,NASDAQ:NTRP
788784,NYSE:PEG
788920,NASDAQ:PDEX
788965,NASDAQ:HNRG
789019,NASDAQ:MSFT
789460,NYSE:WKC
789570,NYSE:MGM
789933,NYSE:NC
790051,NYSE:CSL
790273,OTC:CONC
790359,NASDAQ:NBTB
790526,NASDAQ:RDNT
790816,NYSE:BDN
791718,NYSE:EEA
791908,NASDAQ:XOMA
791963,NYSE:OPY
792935,OTC:GRST
792966,NASDAQ:FMAO
792987,NASDAQ:ASTE
793074,NASDAQ:WERN
793306,OTC:BDCO
