"currency-id","typespecs"
"XTVCFLOKI","${symbolinfo.typespecs},defi"
"XTVCFLUID","${symbolinfo.typespecs},defi"
"XTVCFLURRY","${symbolinfo.typespecs},defi"
"XTVCFLUX","${symbolinfo.typespecs},defi"
"XTVCFLX","${symbolinfo.typespecs},defi"
"XTVCFLX","${symbolinfo.typespecs},defi"
"XTVCFLY","${symbolinfo.typespecs},defi"
"XTVCFOC","${symbolinfo.typespecs},defi"
"XTVCFOR","${symbolinfo.typespecs},defi"
"XTVCFOREST","${symbolinfo.typespecs},defi"
"XTVCFORM","${symbolinfo.typespecs},defi"
"XTVCFOX","${symbolinfo.typespecs},defi"
"XTVCFPAD","${symbolinfo.typespecs},defi"
"XTVCFPI","${symbolinfo.typespecs},defi"
"XTVCFRAG","${symbolinfo.typespecs},defi"
"XTVCFRAX","${symbolinfo.typespecs},defi"
"XTVCFRAX","${symbolinfo.typespecs},defi"
"XTVCFREE","${symbolinfo.typespecs},defi"
"XTVCFRGX","${symbolinfo.typespecs},defi"
"XTVCFRIC","${symbolinfo.typespecs},defi"
"XTVCFRIN","${symbolinfo.typespecs},defi"
"XTVCFRM","${symbolinfo.typespecs},defi"
"XTVCFRONT","${symbolinfo.typespecs},defi"
"XTVCFRXETH","${symbolinfo.typespecs},defi"
"XTVCFSN","${symbolinfo.typespecs},defi"
"XTVCFTT","${symbolinfo.typespecs},defi"
"XTVCFUN","${symbolinfo.typespecs},defi"
"XTVCFUND","${symbolinfo.typespecs},defi"
"XTVCFUSIO","${symbolinfo.typespecs},defi"
"XTVCFXD","${symbolinfo.typespecs},defi"
"XTVCFYD","${symbolinfo.typespecs},defi"
"XTVCFYN","${symbolinfo.typespecs},defi"
"XTVCGAIA","${symbolinfo.typespecs},defi"
"XTVCGAS","${symbolinfo.typespecs},defi"
"XTVCGEL","${symbolinfo.typespecs},defi"
"XTVCGEO$","${symbolinfo.typespecs},defi"
"XTVCGFAL","${symbolinfo.typespecs},defi"
"XTVCGFARM2","${symbolinfo.typespecs},defi"
"XTVCGGP","${symbolinfo.typespecs},defi"
"XTVCGHX","${symbolinfo.typespecs},defi"
"XTVCGLCH","${symbolinfo.typespecs},defi"
"XTVCGLDS","${symbolinfo.typespecs},defi"
"XTVCGLDX","${symbolinfo.typespecs},defi"
"XTVCGLQ","${symbolinfo.typespecs},defi"
"XTVCGLUE","${symbolinfo.typespecs},defi"
"XTVCGMM","${symbolinfo.typespecs},defi"
"XTVCGMRX","${symbolinfo.typespecs},defi"
"XTVCGMX","${symbolinfo.typespecs},defi"
